Tahun,Comments
2020,Kakak bikin bt21 chimmy koya
2020,?
2020,Blek Ping kak
2020,tata
2020,??
2020,Terang bulan
2020,@ningsih_403 ??
2020,kakkk bales dm tolong
2020,Di tempatq namanya lopes
2020,Di tempat ku martabak manis/ terang bulan
2020,@devinuruladini mending beli aja mom wkwk
2020,@gpamekas
2020,Terang bulan kak
2020,@sopsopsoppp AYO KITA MINTA
2020,Tarang bulan
2020,Ditempat ku namanya terang bulan
2020,@najelaecca
2020,"Di tempatku namanya apam pinang, ada jg beberapa yg bilang martabak manis"
2020,Sama kak martabak manis
2020,@r_julv tapi yg makan kamu
2020,Kalo aku namanya sinar bulan
2020,@febiyanamyn_ ????
2020,Kalau dipun nya ku mar tambak manis
2020,Bikin macaron bt21 ka
2020,@zahraaqh saya tidak suka:)
2020,@itswibs @tyorizk
2020,Kak buat makanan yang terbuat dari cokelat yang enak dan lumer
2020,Bikin color kak
2020,Teramg bulan
2020,Itu bukan martabak itu kue bandung?
2020,tempe mendoan cek ??
2020,Knp masak di kamar terusss? kali" di dapur dong
2020,gapunya alatnya doang cek
2020,Terang bulan?
2020,"Ka. Bikin. Gulali. Dari. Ayam. KFC. Dong,. T ini"
2020,8
2020,"Enakk ya ga pake parkir, gapake antri kalo pengen apa-apa langsung buat dikamar everiting ada ?"
2020,Request martabak tai kak
2020,Terang bulan
2020,@danishalukenza ??
2020,@febryani13_ salam damai ???
2020,Teramg bulan ??
2020,@yuniperot i find u:v
2020,Say brpa takarannya di tulis dong?
2020,@inta.nia03 aku juga terang bulan di kaltim
2020,@_zhrnnisa
2020,Tarang bulan ?
2020,Klok di daerah ku terang bulan
2020,@igd.yudasaputra_03 dikalimantan jg terang bulan
2020,@nameera.27 Aku dari bali
2020,Didaerah ku nama nya martabak mahal?
2020,Itu tepung terigu nya pake protein apa kak??
2020,Terang bulan namanya di sini
2020,Terang bulan namanya
2020,mulai bersarang @magsfir
2020,Yg triphobia mana suaranya???
2020,Ka bikin cakwe hantu goreng itu ks
2020,Martabak telur donkk (martabak asin)
2020,Kak coba bikin martabak manis yang topingnya macam macam selai
2020,@cindyyy67_
2020,Martabak  manis
2020,"@hakaanr bnyak konten makanan lainnya, cuman bukan dompet pelajar, karna pake emas semua:("
2020,@hakaanr
2020,terang bulan
2020,@syafira_amalia_09
2020,Terang bulan
2020,Kk masak bakso k
2020,@siscakohl makan pinggir jalan chekkk
2020,Terang Bulan:v
2020,Kak taruh komposisi setiap bahannya
2020,Buseettt kalengnya sampe penyok ?
2020,Apam kebeu kk
2020,Kk masak burger donk
2020,saya nak perisa bawang
2020,Kk buat martabak pakai keju mozarella donk kk
2020,Terang bulan ciiii
2020,Terang bulan ciiii
2020,2
2020,Kak minta takarannya dund :)
2020,Terang bulan
2020,@belskuyy sama gw juga
2020,@dalilatihusnah muak.. ????
2020,"@zhuuying hahaa, bener.. tunggu aja kalo umur udah mw 30 th, pas di medical check up.. keliatan dah tu gula darah meningkat, plus fatty liver.. ?"
2020,Itu mata nyh ke kamera mulu apa g tumpah adononnyh
2020,@ruth23421 iyaaa hahahah
2020,@clarisacndr  @_putriew_
2020,ci bikin es cendol dong
2020,Mamah @mbhlakh buat ih?
2020,kamarku adlah dapurku
2020,gatau kenapa gue kesel aja liat mukanya  sama suara nya
2020,"Itu knp ga dikeluarim dari loyangnyah, dan menurutku terlalu kentel adonannya"
2020,@najwakhairunnisa14 gawe yok sayang
2020,@aiis.ssss hyu bikin
2020,Geli gue liat terang bulanya
2020,@tas.yaaaa_ kuy
2020,Cara dia ngeluarin skm nya :')
2020,kalau kat malaysia makanan tu dipanggil apam balik
2020,@keysiaparerung yoii
2020,@linda_puspita_sari3
2020,@neyungtan
2020,Nada ngomongnya bikin bengek ako ??
2020,@anggernovando__ ?
2020,@margaretarrr boleh
2020,@anggernovando__ bikin yuuk
2020,Di tempat ku namanya tersng bulan
2020,Martabak?? Bukan nya martabak itu yang telor dicampur sayur daging trus ditutup pakek kulit lumpia atau sejenis nya?
2020,@keysiaparerung BENER BANGETTT
2020,Ka ganggu g aku bomlike? Maaf yah ka . Soalnya aku ngarep bgt dapet hp buat suami aku kerja. Hp nya mati2 terus. Aku stop bomlike nya takut ganggu. Kalau masih boleh bomlike ayo aku siap ??
2020,Kak. Kl mau Halloween ke Wyndham hotel di Casablanca jakarta aja ?
2020,@sheeeeenya aku sudah mengikutinya dari dulu ??
2020,@aykhrnsa sampe sini maksutnyaa
2020,@sheeeeenya kenaffa aku ??
2020,Ada @aykhrnsa
2020,??
2020,Dahlah ini mirip @primarifqah wk
2020,@dayana.syafira.12 iya ya
2020,@clubantikere palingan udah dicuci sebelum buatnya
2020,Cosplay Belle delphine
2020,Kalo sisca KHOL apanya??
2020,lucu jg mienya jd item
2020,"Tadi itu ada ,kembang kol, @Sisca Kohl,dan #aliyyah Kohl"
2020,Aku suka ide buat bikin matanya kreatif banget
2020,Sadis banget
2020,Itu brokoli ngga di rendem air garem uletnya banyak loh
2020,Lagu nya gak cocok sumpah
2020,Hollowen kok baju nya hak serem
2020,aliyya mukanya anime banget
2020,@aullllllllllllllllll wkwkwk ngestalk ampe bawah ya lu? Wkwk
2020,@viniarnti jadi inget sayur bapak gue dikasih pewarna wkwkwkwk
2020,Woww kreatiff bgt!!!! Keyeeennn???????????????? @siscakohl
2020,??????????????
2020,@mailythaellena ??
2020,Kreatif bgt?
2020,Gw kira yg iyem itu mi ghost paper
2020,@devisetyarini ?
2020,????
2020,Headsetnya .... ?
2020,@ebgmyyy ?
2020,"ada barang bagus nih kak , sudah saya dm"
2020,??
2020,"Halo ka cantik, cek dm ya?"
2020,Mienya serem beut gak sih ?
2020,?????
2020,Freaky njirrrrr
2020,Ade lu ko dari awal cuma ????????
2020,Aneh pasti rasanya?
2020,Serem
2020,Aneh dahh hadeuh ?????
2020,Ekpresi ade nya lucu bgt setiap video ??????
2020,Pasti Rasanya Seperti Anda menjadi Iron man??
2020,Im so scared
2020,Firstttt
2020,Woohhoo
2020,Bikin ngilerrr
2020,Adenya tertekan ???
2020,??
2020,?
2020,????
2020,??
2020,Susah bgt bikin nya
2020,wkwk @riasitamayang
2020,Sultan tapi tutup panci nya??
2020,@elland_smithh yuk
2020,@arrifa_nr22
2020,@megiegie
2020,@novenitaaaa
2020,Mukbang jajangmyeon dong kak please...
2020,ndak ngerti aku dia bilang ocujang majujang
2020,Di spa auto meninggoy sumpah !!
2020,Hyng Odeng ii @risya.echaa @pptryni___ @sintaa_hr
2020,Kak mukbang macaron
2020,Mukbang mie samyang dong kak
2020,@sekarfitrianisahh
2020,pengen makan ini @cikmat_sef @yudik110
2020,gak usah nnton drakor kalau segitu enak makannya kak ya Tuhan
2020,"@luciargya kalau itu no comment ,tp gue lbh prefer bikin makanan sendiri dr pd jajan di warung nyokap gue dr kecil suka bikin makanan dirumah lbh hemat dan kenyangin dr pd jajanan diabang2 atau warung actually,kalau di hitung2 pengeluaran lbh better bikin makanan sendiri toppoki 30rb udh bisa kenyangin banyak satu rumah jg"
2020,"@rianimb94 hmmmmm mnrutku sh mhal soalnya lebih mnding buat jjan anak dri pd jjan aku smpe sgtu? ,, beli mie lidi aja q mahh udahh, sneng bgt,, ?"
2020,@thrsnstsy_ semahal2 paketnya ratusan ribu yg 100rb banyak direstoran mahal bgt ?
2020,"@thrsnstsy_ mahal bagaimana toppoki ada yg 30an rb jg ada dishopee mbak kimchi gue beli di diamond cuma 40an rb trs keju nya pakai yg indonesia di diamond murah2,terus pakai ramyeon gk sampe 100rb paling mahal 50rb dr pd beli di restoran jauh lbh mahal gue suka bikin dirumah terus buat bikin gimbab nya bikin sendiri bahan2 muda dicari"
2020,MAU
2020,@aanggrianii_ shiittt
2020,@filly.sairdekut
2020,masih ingat rasanyaa gak ? @syasamitalya_98
2020,@amel_ramadhani19 hayukk
2020,@feronicaandinii Bikin ini besok yok kak
2020,Kenapa Nggak Buat YouTube Buat Mukbang Atau Asmr Aja Kak
2020,@rinirchoiriyah ???
2020,@adeelysa ???
2020,@mutia_syofianita ngiler dk nii ? ?
2020,@akfltkgldlalwl
2020,@inn.frh gaskeun. beli bahannya
2020,@choo.1112 beneran lah kuy gas?
2020,@inn.frh mungkinkah wacana
2020,@choo.1112 buat yuk?
2020,Halal gk?
2020,@larisaoctaviane @innekerizni sama aku juga pengen beli aja. kalo bikin takut aku yang disuruh masak ?
2020,@larisaoctaviane sarua tp ingn beli soalna klo dimasakin tkt ga enak??
2020,Hayang bikin ini @kharisyabella @innekerizni
2020,asli si topoki itu rasanya kaya cilokkk ????pernah coba
2020,Samyang kak
2020,aku mau kalin mukbang mi
2020,Rapi banget si masaknyaa?
2020,"Kak, beli bahan nya dimana.. jadi pengen ikut beli aku"
2020,@dnrsntk trims mbak ?
2020,"@tasbajubogor31 suki, isinya keju pasta"
2020,"gaiss.. .yg bulat kerucut warna orange belang2 itu, namanya apa ya ??"
2020,@derasagustini emm enyak
2020,@daniadewantari
2020,Ga ngebul tuh kamer
2020,"Odeng,rasanya seperti anda menonton K-Drama."
2020,?? @c.msll
2020,@lemonchild04_ jadi pengennn?
2020,Beli bahan nya yg susah? beli bahannya dimana kak?
2020,Makan corndog mozarella dong
2020,Mukbang pitzza????
2020,Fix adeknya yang kiri mirip lu @pshty15
2020,Mukbang mi samyang pakek jabe rawit di potong potong minum kalau sudah habis??
2020,@ernatrise ?
2020,@tasyaamia
2020,Kak beli nya di mana?
2020,gg jd lafarr.. bagi pls ?
2020,@cymberlyn_ ?
2020,seakur itu dia dengan kakak nya?
2020,@dl_septiana buat lah kau del
2020,@_05nayshella selera kli aku dos
2020,@gismanwwe drmhta ada mi background hijau to ?
2020,"@dianpermatasari_18 yuhuuuiii... Dipikir pikir dulu apa2 yg mau dimakan, trus tempatnya bagus dimana?"
2020,@putriayucwr ?
2020,@dianpermatasari_18 ahhh aku trharu ??
2020,@gismanwwe dtg pi bunda @putriayucwr
2020,Kapan2 kita Mukbang gaesss @dianpermatasari_18  @nisfss @wardilaaulia @putriayucwr
2020,@faridsuhmanar
2020,@iceteamochi  sal ?
2020,Gimana kalo mukbang minuman hits yg lagi vira dikorea tapi diatas rumah.. Bukan teras ok... This challengge dan buat minumanya pun diatas rumah ye????????
2020,cakep banget cici
2020,Plis
2020,Mukbang corn dog
2020,"@ebellaverrr itu biasanya harga perbungkus nya mayan mahal sih bagi kita yg pas""an, kya mau beli mikir dlu mending beli yg lain yg lbih murah dan mengenyangkan ?"
2020,Bikinn laperr
2020,@luciargya gaada hubungan miskin sama makanan kayak gitu
2020,????????
2020,mukbang makanan india
2020,Mauu mkn kek gituu?aduh tapi aplah dya orang miskin sprtiku?
2020,Kalo di tiktok rame nihh pasti:)
2020,"Jual puff pastry homemade, silahkan mampir ke ig kami ?"
2020,beli pastry nya dmn?
2020,Wawww lumer
2020,@faina_nabila04 kalo mau beji baju preloved kesini aja kak @kafca.thrifted . Selamat mencobaaaa ?
2020,Nyenyenyenye
2020,@astried_oktaviani bikin inii hayu
2020,"Pinter deh, udah kaya kreatif ?"
2020,@nhiebhiehuruhara
2020,Kaka mohon bantuan doaa yaa kami di Kalsel kami kebanjiran hampir satu provinsi kena dampak nya tapi alhmdulillah ini sdh surut???boleh ngk kalo aku mau beli baju kka tapi yg prelovee yg udh ngk kepake juga ngkppa aku mau beli boleh? Nnti kalo boleh kabarin aku yaaa @siscakohl
2020,Croisant ga itu?
2020,@putriihannas
2020,@viola ga we o ol nko aku tk rewangi ngentekne?
2020,Gemoyyyy ??
2020,Mukanya hampir persis
2020,@blue.matcha_ kamu aja mbuatin aku gimana?
2020,Kreatif ya kalian?????
2020,@mommy_bunga.arkana shopee
2020,Bebeb endutan ?
2020,@icedventilatte ayo buat kek gini
2020,Aku salfoknya sama pipi kalian berduaaaa ??
2020,Yummy?
2020,Makin buled ya pipi KALIAN ??
2020,Enak sekali kayaknya
2020,@mommy_bunga.arkana di frozen food.
2020,Kak di goreng bisa gk
2020,Gemes sm aliya
2020,???
2020,Mba mau nanya beli puff pastry instan nya dmn yaa? Jd Pgn buat jg ?
2020,Enakkk?????
2020,Suka liat kalian senyum d video keliatan kl kalian loyal????
2020,Hii
2020,@may_571012  rasanya apa dah
2020,@qwan.nzrdn  betul ??
2020,Ya kami di malaysia aja emang rasa aneh?
2020,Kok suaranya beda
2020,itu beli di mana kak sica ?
2020,"Emang ga enak , aku asli malaysia aja kagak bisa makan . Ogah ?"
2020,"""Mie teraneh yg pernah aku makan"" ?"
2020,????
2020,"Suka bgt yg mi gorengnya, nagih rasanya ???"
2020,Iya aku pernah makan dan itu wek bgt ?
2020,Ada jg @diankhariana
2020,@alyara_ara itu kan cermin_-
2020,Gaenak ya kasihan
2020,@alyara_ara  enggak weh itu kaca itu aliyah?
2020,Di blkg nya ada mamah nya?
2020,Iuuuu
2020,"kak cuba rasa mie kari dari malaysia ??,boleh ngak ?."
2020,Gak usah ngadi2 sis
2020,Hhh..
2020,Gw dari malaysia aja ngakuin mee ini emang ga enak?
2020,Lu perlu lihat artis malaysia makan mee ini dan baru lu tau semua ga suka mee ini kerna rasanya ga enakkk
2020,Salfok sama orang di belakang
2020,@mramdan27 sabar ngab?
2020,"@clara_caroline besok gue kirim ke rumah lu ya buat cobain. Mi sulthan loh itu, jauh belinya ?"
2020,@stella_lupita wah ini mie yg lu blg enak banget itu kan ya
2020,@clara_caroline wkkwkkwk. Ternyata benern kgk enak ???
2020,"dari atas sampai sini gua cuma bisa nelen ludah , terimakasih"
2020,@umi_ch18 favorite vina mi ?
2020,@jimshonneyc ga masuk dilidah aku?
2020,@eva.ifah @umi_ch18 @kiki_setiani @vinaidza
2020,@nurulhalifpah_
2020,Kok semua artis yang makan mi instan boba ini kok gak masuk rasanya kayak rasanya katanya aneh padahal harganya 50 ribu lebih??
2020,@deswita8256 kan nyoba.. Gimana to
2020,Hampir Saja Aku Mau Beli Selusin Buat Ta'jil
2020,@litlychu ??
2020,Trnyata ada beginian gan @vio.letazalea ?
2020,"ngakak yg terakhirr, mj teraneh yg perna aku makan?"
2020,next try Santan Nasi Lemak Pak Nasser dari pesawat airasia?
2020,@ferdianlo
2020,@zakiauthor ih bener banget kesukaan gue itu
2020,@_sgivanti Malaysia pun ga nerima ini KSKSKSKS
2020,@pikrukkriuk ancur cuuuu wadapak ?
2020,@syahidatunharafiah rasa ayam bawang dan Indomie goreng adalah legenda kami ? hidup anak kost
2020,Nih kedoyanan lu @iankurnia_
2020,@zakiauthor gue setuju. Penolong anak kost. Penolong akhir bulan?
2020,@intanpd3 gapingin buu????
2020,@pramestiandr
2020,@restufebriannn_
2020,Suaranya ? aestetic ?
2020,Di sini gue bersyukur dan pengin teriak2 ke dunia bahwa: Alhamdulillah Indonesia punya Indomie yang ga pakai Boba dan kuas teh manis ?hidup Indomie mie enak sejuta umat
2020,Tinggal beli popmie kasih toping cincau aja ? lbih enak ?
2020,@ekyfahmiaa hhih:(
2020,"@ekyfahmiaa wididaaaw, baru diomong kemarenn"
2020,@auraa.wrr MieBobo?
2020,Gaesss @imtihr @darategar @mutiarafinsani
2020,Udh gk enak mlh tambah es batu
2020,Hm
2020,Ya Allah bunnnn???
2020,Gak suka tapi ko di makan
2020,Kala aku udah subscribe vidio kakak lo
2020,@nabilarachmaniaaa
2020,Gue salfok
2020,Kalo laper pasti nikmat
2020,@bu.aaf
2020,@haii.sarr
2020,@melsayuriko22 @filahrnusa
2020,Kalau gue makan aja ??
2020,@editzz.alwi_ halal
2020,@editzz.alwi_ halal
2020,Coba review popmie yg pake nasi ?
2020,@giewgiewbibiph @hardiansyahirfan941 @raudhanp_15 @eti7948 @realfaeyza
2020,@nurilizati_
2020,Terima kasih ya org kaya kerana test makan kami????
2020,Ini reall gk yh kalau reall aku mau follow
2020,Itu dibelakang siapa
2020,k halal gk?
2020,@illaaaaaaaaaaaaaaaa @mariam.siti97
2020,"Fans from malaysia,to me this mi boba taste disgusting ? but it's unique mamee in malaysia?"
2020,?
2020,?????????????????????
2020,@amaliawisab wkkwkwkkwk dikasih juga ogah ye
2020,@jihannbla
2020,@aazzizahhh_ ??
2020,"@nisaaa.21_ Fix lidah gue gacocok, emg enakan indomie kemana??"
2020,@nrhalisahhhh disaranin pke es batu lgii.
2020,"@nrhalisahhhh  wadidaww, yg punya ide siapa sih ???"
2020,@alkatiri_ali
2020,@cakraa.wardanaa indomie malaysia syg rsa teh susu?
2020,Mo muntah aku liatnya
2020,@erikarkml gajauh beda makan mie pake candil ??
2020,@yopsann  patut d coba?
2020,@febiola_162 skipp
2020,@riska_apilla1304
2020,Salpok sama rumah nya?
2020,Belinya dimanaa
2020,??
2020,Es mie boba ?
2020,Penistaan makanan T^T
2020,Detail bgt liat emoji ada bakso nya kakk :') mau resep emoji lainnya kak ?
2020,?
2020,Wahhh enak??
2020,???????
2020,ka sisca kalo senyum manis banget?
2020,Vqjjlaww
2020,Jiwa males ku menjerit ....bikin ngilerrrr @siscakohl
2020,"""masak dikamar cek!"" Tapi bahan bahannya bawa dimana kak? ?"
2020,klo gua makan di kamar aja di marahin emak karna nanti jadi bau katanya
2020,kak.. kakak papanya yg punya mito yaa?
2020,@itz.arza_ toell
2020,@evirafaza
2020,"Kirain org kaya makanan nya beli, simpel, doang eh ternyata hobby buat sendiri juga??"
2020,2
2020,Gw yg di kamar ga suka bau bau dapur ceeekkkk
2020,prank adenya lagi dong........
2020,"Ibu nggadah semua peralatan masak, masak niki yuk.. ??? @nurr_abidin"
2020,Kak supah aku liat video kakak semua bagus bangettttt???????????????
2020,@nsmuthia
2020,@andrians.p hahah ngakak
2020,@andrians.p itukan nasi woy kue beras
2020,Kenapa ga pake nasi???
2020,@elland_smithh nih mukbang
2020,Weh kalian kembar ?
2020,Hwarang
2020,Ada hwarang astaghfirullah?????
2020,_______
2020,Waduh tv nya udh kek bioskop mini?
2020,@megiegie
2020,@andinihwang
2020,taehyung kok di rumah sisca kohl?
2020,Tv
2020,I i itu kan ada teahhyung di ty
2020,hwarangg ??
2020,Aduhh itu si emphi lucu bat dahh??
2020,BTW itu film hwarang nya episode berapa
2020,Coba aja gw kaya gitu auto  berbuat kebaikan
2020,Kertas nya ikut nyemplung??
2020,@priyanto.rudi1993 Selamat mencoba
2020,Pink aja yg merah gaada halal
2020,@haveyzee  kpn2 bli kuy
2020,@rachmadua iya karna yg drakor nya itu taehyung BTS dong ?????
2020,@icengelvandedood
2020,Anjr Hwarang
2020,@mejij_ kita bisa nih bikin ginian ber2 ???
2020,Dia bias v? ?@cblxss.a
